@RELATION radiation
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE radiation NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE radiotherapy NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE p53 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE irradiation NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE doses NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE chemotherapy NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE gy NUMERIC
@ATTRIBUTE chromosome NUMERIC
@ATTRIBUTE received NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE stage NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE dna NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE tumors NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE combined NUMERIC
@ATTRIBUTE ly NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE ct NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE exposed NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE apoptosis NUMERIC
@ATTRIBUTE free NUMERIC
@ATTRIBUTE mice NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE local NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE bcl NUMERIC
@ATTRIBUTE malignant NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE ar NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE cisplatin NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE antibody NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE overall NUMERIC
@ATTRIBUTE cm NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE recurrence NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE cervical NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE gsh NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE wall NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE combination NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE conventional NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE ionizing NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE given NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE induction NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE uva NUMERIC
@ATTRIBUTE surgical NUMERIC
@ATTRIBUTE 60 NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE percent NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE initial NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE iii NUMERIC
@ATTRIBUTE limbal NUMERIC
@ATTRIBUTE shown NUMERIC
@ATTRIBUTE lr NUMERIC
@ATTRIBUTE atomic NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE genetic NUMERIC
@ATTRIBUTE reduction NUMERIC
@ATTRIBUTE cgy NUMERIC
@ATTRIBUTE preoperative NUMERIC
@ATTRIBUTE developed NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE influence NUMERIC
@ATTRIBUTE bomb NUMERIC
@ATTRIBUTE damage NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE carcinoma NUMERIC
@ATTRIBUTE underwent NUMERIC
@ATTRIBUTE survivors NUMERIC
@ATTRIBUTE uv NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE fractionated NUMERIC
@ATTRIBUTE further NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE decrease NUMERIC
@ATTRIBUTE if NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE large NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE adjuvant NUMERIC
@ATTRIBUTE major NUMERIC
@ATTRIBUTE electron NUMERIC
@ATTRIBUTE chest NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE methods NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE helical NUMERIC
@ATTRIBUTE vaginal NUMERIC
@ATTRIBUTE repair NUMERIC
@ATTRIBUTE m NUMERIC
@ATTRIBUTE apoptotic NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE uvb NUMERIC
@ATTRIBUTE resection NUMERIC
@ATTRIBUTE cellular NUMERIC
@ATTRIBUTE estimated NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE evaluation NUMERIC
@ATTRIBUTE irradiated NUMERIC
@ATTRIBUTE rat NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE complete NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE fibrosis NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE fluorescence NUMERIC
@ATTRIBUTE fractions NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE rt NUMERIC
@ATTRIBUTE t NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE phase NUMERIC
@ATTRIBUTE tgf NUMERIC
@ATTRIBUTE sensitivity NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE better NUMERIC
@ATTRIBUTE mri NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE functional NUMERIC
@ATTRIBUTE effective NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE paclitaxel NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE 70 NUMERIC
@ATTRIBUTE gamma NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE interstitial NUMERIC
@ATTRIBUTE sensitive NUMERIC
@ATTRIBUTE metastatic NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE therapeutic NUMERIC
@ATTRIBUTE death NUMERIC
@ATTRIBUTE genes NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE investigated NUMERIC
@ATTRIBUTE rectal NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE investigate NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE demonstrated NUMERIC
@ATTRIBUTE uptake NUMERIC
@ATTRIBUTE h2o2 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE appears NUMERIC
@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE detected NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE technique NUMERIC
@ATTRIBUTE prognostic NUMERIC
@ATTRIBUTE various NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE result NUMERIC
@ATTRIBUTE delay NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE pleural NUMERIC
@ATTRIBUTE thyroid NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE previous NUMERIC
@ATTRIBUTE recurrent NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE mutations NUMERIC
@ATTRIBUTE late NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE considered NUMERIC
@ATTRIBUTE follow NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE would NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE m2 NUMERIC
@ATTRIBUTE toxicity NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9674652
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9607347
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9425496
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9524594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9583016
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9417307
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9680919
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9361125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9345905
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9388515
